processed_search_term,num_unique_searches,spelling_errors,google_corrections
shapefile,458,1,
muni,313,1,
bart,189,1,
gis,186,1,
san francisco,154,2,
sfpd,146,1,
shapefiles,146,1,
sfmta,125,1,
inclusionary,100,1,
sfo,75,1,
streets of san francisco,74,2,
topo,69,1,
dem,67,1,
json,65,1,
landuse,63,1,land use
sfpd incidents,61,1,
basemap,58,1,
census shapefile,56,1,
csv,50,1,
citylots,49,1,
envista,44,1,
orthophoto,42,1,
sfmta bikeway network,42,2,
lidar,42,1,
cnn,40,1,
popos,40,1,
ortho,40,1,
water bodies in san francisco,40,2,
sffind neighborhoods,39,1,
shoreline shapefile,39,1,
shp,38,1,
zipcode,37,1,
inclusionary housing,36,1,
hiv,36,1,
uber,35,1,
gps,34,1,
wifi,33,1,
geojson,33,1,
mta,33,1,
san francisco crime,32,2,
sanfrancisco.gdb,32,2,san francisco.gdb
lyft,32,1,
airbnb,30,1,
sffd,29,1,
maher,29,1,
eas,28,1,
sfpark,28,1,
pbc,27,1,
bikeway,26,1,
kml,26,1,
stclines,26,1,
sfopenbook,25,1,
sfshore,25,1,
sro,25,1,
caltrain,25,1,
taz,25,1,
address locator,24,1,
internet,23,1,
dui,23,1,
stormwater,23,1,
basemap street centerlines,23,1,
sanfrancisco,23,1,
chinatown,22,1,
presidio,22,1,
dpw,21,1,
api,21,1,
realtor_neighborhoods,21,1,
fte,20,1,
oakland,20,1,
zipcodes,20,1,
sfusd,19,1,
sfpd incident,19,1,
open busienss,18,1,open business
street of san francisco,18,2,
dbi,18,1,
berkeley,18,1,
healthcare,18,1,
gdp,18,1,
apn,18,1,
lgbt,18,1,
.shp,17,1,
parklet,17,1,
san francisco boundary,17,2,
avl,17,1,
basemap street centerlines shapefile,17,2,
street shapefile,17,1,
streets shapefile,16,1,
sfpuc,16,1,
bikeway network,15,1,
muni routes,15,1,
pci,15,1,
cbd,14,1,
san francisco map,14,2,
san francisco crime classification,14,2,
muni stops,14,1,
foodtruck,14,1,food truck
realtor,14,1,
muni lines,13,1,
new york,13,1,
ellis,13,1,
ellis act,13,1,
gtfs,13,1,
sfpd reported incidents,13,1,
crime shapefile,13,1,
san francisco shapefile,13,3,
san francisco shoreline,13,2,
san francisco streets,13,2,
bike shapefile,13,1,
cafe,13,1,
pdr,13,1,
grafitti,12,1,graffiti
google,12,1,
recology,12,1,
telecom,11,1,
alcatraz,11,1,
bayview,11,1,
naics,11,1,
supervisorial districts,11,1,
puc,11,1,
pbc code,11,1,
neighbourhoods,11,1,
parklets,11,1,
cctv,11,1,
census2000_blk_nowater,11,2,
supervisorial,10,1,
dogpatch,10,1,
gis data,10,1,
tnc,10,1,
indonesia,10,1,
bart stations,10,1,
affordability,10,1,
brownfield,10,1,
fema,9,1,
aadt,9,1,
basil thai,9,1,
boundry,9,1,
neighbourhood,9,1,
stclines_streets,9,1,
bikeshare,9,1,
san francisco outline,9,2,
san francisco neighborhoods,9,2,
uncashed,9,1,
busines,9,1,business
vmt,9,1,
starbucks,9,1,
search datasf,9,1,
resturant,9,1,restaurant
dpw paving,8,1,
muni stations,8,1,
sffacs,8,1,sfacs
parks shapefile,8,1,
sffind,8,1,
sfha,8,1,
bathymetry,8,1,
dwg,8,1,
smf,8,1,
resturants,8,1,
socrata,8,1,
castro,8,1,
homocide,8,1,
expa,8,1,
san fransisco,8,2,
san francisco public schools,8,2,
potrero hill,8,1,
app showcase,8,1,
muni feedback,8,1,
adt,8,1,
muni shapefile,8,2,
water shapefile,8,1,
san francisco county,7,2,
fb global,7,1,
arcgis,7,1,
assesor,7,1,
cnn changes,7,1,
miami,7,1,
bikeways,7,1,
realtor neighborhoods,7,1,
santa clara,7,2,
facebook,7,1,
transit shapefile,7,1,
lbe,7,1,
orthophotos,7,1,
grafiti,7,1,
alameda,7,1,
adu,7,1,
chicago,7,1,
cafe bakery,7,1,
california,7,1,
ada,6,1,
crim,6,1,
neighborhood shapefile,6,1,
.csv,6,1,
bayview hunters point,6,1,
geocode,6,1,
map of san francisco,6,2,
portola,6,1,
san francisco basemap,6,3,
dmv,6,1,
maher map,6,1,
metadata,6,1,
streets gis,6,1,
san francisco street,6,2,
liquifaction,6,1,
curblines,6,1,
naip,6,1,
gujarat,6,1,
openbook,6,1,
bart shapefile,6,2,
orthoimagery,6,1,
padmapper,6,1,
pictometry,6,1,
sfo customer,6,1,
sfpd crime,6,1,
muni metro,6,1,
sfpd crime incident reporting system,6,1,
kmz,6,1,
sfpd-incidents-2013,6,1,
boston,6,1,
buisness,6,1,
sf_map_copyright_openstreetmap_contributors,6,1,
sf_map_copyright_openstreetmap_contributors.rds,6,2,
sfdph,6,1,
chinese,6,1,
campaign finance - fppc,6,1,
fillmore,6,1,
hillshade,6,1,
ingleside,6,1,
waitlist,6,1,
tehran,5,1,
shapfile,5,1,
jakarta,5,1,
noi,5,1,
parkmerced,5,1,
cadastral,5,1,
inclusionary requirements,5,1,
rpp,5,1,
jane kim,5,2,
apps,5,1,
sfpl,5,1,
california register,5,1,
ceqa,5,1,
pddistrict,5,1,
restuarants,5,1,
sfrpd,5,1,
property assesment,5,1,
pbc codes,5,1,
sfpd districts,5,1,
bussiness,5,1,
geo,5,1,
208 girard,5,1,
india,5,1,
shapefile bike,5,1,
wi-fi,5,2,
