last_search,ga.searchKeyword
Smart City Data Pooling,"""Smart City Data Pooling"""
'></script><script>alert(1)</script>,'<script>alert(1)</script>
'</script><script>alert(1)</script>,'><script>alert(1)</script>
building outline,.cad
building violations,111 Ellis Street
2013 quarter 3,2015 quarter 3
2016 Assessor map,2016 Assessor map updates
bill's place,2315 clement
31,311
crime,311
crime,311 calls
311 service ordes,311 service orders
46,460
460,496
911,911 rates
944 treat av,944 treat ave
juniper,ASR
Business Registration,Business Certificates
crimes,Criminal
Curb,Curbs
meter rate,Enterprise Addressing System
hospital,Flu hospital
REAL ESTATE,HOUSE COST
incomes,income
race,income
car,intersection
recreaction,job
public access,kayak
bay area land use,land use
"land use""",land use
parks,land use
land,land value
land cover,landcover
number of lanes,lane
immigration,legal
linked in software developers,linked in
drop inlet,manhole
mexico,mexico shapefiles
movie in san francisco,movie
bus,munibus
national parks,national praks
traffic noise data north beach,noise data north beach
health,obesity
imagery,orthophoto
property,parcel
secured roll,parcels
open space,park
fire hydrants,park meter
street furniture,parkbenches
parking garage,parking
cita,parking citation
bike,parking lots
parking,parking violations
traffic tickets,parking violations
food,permit
petersen,petersen beadwear
pipeline 20152,pipeline 2013
shape file,polygon
pop,population
port,port jurdisdiction
house,pricing
harbors,public access
Computer science,recruite
car,registerted car
median rent,rent
,respiratory
vietnam,restaurant
river data,rivers
streets,roads
sf streets names,sa streets names
sfpuc water,sfpuc
school crossing guard,sfusd
sfusd school phone numbers,sfusd
sfusd,sfusd school phone numbers
census tract 2000,shapefile
budget,shelter
homeless,shelter
truck,social event
facebook,social media
animcal species,species
sfpd,speeding
star# 1840,star
state employee,state employe
storm wat\er,storm watyer
zonign,stormwater
street sweep,street
\cleaning,street cleaning
external datasets,streets
lane markings,striping
district,supervisor
uber,taxi
contours,topography
travel,tourists
traffic volumen,traffic
pedestrian,traffic
traffic volume,traffic
traffic count,traffic counts
traffic,traffic data
traffic,traffic stats
treasure Island crime,treasure island
tree removasl,tree removal
trust in institutions,trust in instituions
uber,uber]
uncashed,uncashd
overpayment,uncashed
unclaiemd,uncashed
unclaimed funds,uncashed warrants
housing units removed protected,units removed protected
trees,vegetation
vehicle couts,vehicle
v crime,violent crime
creek,water
water  pipe,water pipe
parking violations,weather
wind turbine,wind turbine power
housing,zip code
district maps,zoning district maps
crime,July_1_2010
census,MUNI stations
cam,Map
Parkinf,Parking
Parks date,Parks year
SFMTA p,SFMTA
San Francisco,San Franciscoweather
San_Francisco poperty,San_Francisco property
Solar M ap,Solar Map
Strategic Plan 2014,Strategic Plan
,Street parking
streets,Streets
Hospital,Streets of San Francisco
port jurisdiction,WATER RELATED
Water bodies in San Fran,Water
parking accidents,accidents
Brittany,adams
adress,address
address locator,address locater
image,aerial
alameda census shapefile,alameda census
meter,api
assessment role,assessment roll
housing,assessor
assessors roll datq,assessors roll data
civil,asset
housing authority,authority
water,automated
income average,average income
outline,bay area
open space,beach
dinner,bike
san francisco bike,bike
dpt bike network,bike network
streets shapefile,bike parking
bike,bikeway
block\,block
clocks,blocks
boundary of citie,boundary of cities
bridges,bridge
building violatons,building violations
BUILDINGS,buildings
building,buildings
bu,bus
businesses,busines
data sf,business
parks,business codes
business registration number BAN,business registration certificate BAN
business account,business tax
registered businesses,businesses
restaurants,businesses
crime,cable
cubs,cabs
car accidents,car
parking,car park
census2000_blk_nowater,census
streets of san francisco,census 2010
childcare,child care
residential,civic art collection
climat,climate
climat,climate change
connelly,connolly
electricity,consumption
street sweeping,contruction permit
watershed,creeks
cable,crime
crime',crime
crimer,crime
crimes,crime
crome,crime
crme data,crime data
traffic accidents,crime report
crime,criminal
traffic,culture
curg gis,curbs gis
delivery,deliver
developers,developer
development pipeline,development pipeline 2016
supervisor,district
population,economic report
campaign finance,ed lee contributions
median household income,education
empty parcels san francisco,empty parcels
energty,energy
eviction,evictions
EMS response,fire calls
foof,food
restaurant,food
food truck,food permit
mobile vendor,foodtruck
coastal zone,footprint
muni forward,forward
molina,fredrina
gas prices,gas
gos,gis
golden gat,golden gate
landslide,hazard zones
transport,health
health,health inspection
health sore,health score
building height,height
coahes,high school basketball coaches
,hiv
hi council,hiv council
homelessness,homeles
homelessness,homeless
homelessness,homeless
eviction,homelessness
hospitals,hospital
houseing,housing
,housing inventory
incidents,incident
incom,income
developer,jobs
office under construction,leasing
library,libraries
library],library
liquor store,liquor
schools,maher map
marina,marinas
meter maps,meter map
meter,meters
old military base,military base
mobile foo,mobile food
food permit,mobile permit
wanted,name
neighborhoods,neighborhood
neighborhoods,neighborhood
neighborhood mao,neighborhood map
new york city,newyork city
well,oil
one foot,one foot contours
open space gis,open space
parking meteres,parking meters
building footprints,parks
park,parks
parts,parks
payvment,paving
pensions,pension
mobile permit,permit
pet,pets
planning district,planning
points of interst,points of interest
polics,police
population,pop
populatoin,population
port jurisdiction,port
sale,price
business owners,property owners
property tac,property tax
public building,public buildings
budget,purchase
race,racial
rd,rdf
,real time
office rent,rent
rent burden,rent
price,rent price
civic art collection,residential
condominium,residential
residential land sue,residential land use
restaurents,restaurants
retail corridors,retail corridor
traffic circle,roundabout
Eviction,route
ASR,router
san francisco census block,san francisco map
schools,school
land,schools
senior center,senior centers
service,service request
zoning districts,sf shoreline and islands
crime,sfpd incidents
shape file berkeley,shapefile berkeley
shelter co llc,shelter co
elevation,slope
shoreline,soil
soik,soil
solar panel cost,solar panel
601 brannan,south of market
speeding tickets,speeding ticket
statopms,stations
roundabout,stop sign
street,streets
street,streets
telecommunication,survey
tow,sweep
tax revenue\,tax revenue
parcel,tax roll
parking Harrison,temporary no parking
Crime,ticekts
ticket voilation,ticket violation
tourism,tourist
campaign,traffic
traffick,traffic
traffic counts,traffic count
transit frew,transit freq
water,treatment
curbs,trees
whispering dishes,union plaza
urban,urban tree
accidents,vehicle pedestrian
energy,water
rivers,water
watson,wattson
weather,weather data
sf zipcodes,zipcode
!  Cannot open C:\Users\CafeThai\AppData\Local\Temp\Rar$DIa0.256\ปลอมยศ.rar   The system cannot find the path specified. !  C:\Users\CafeThai\AppData\Local\Temp\Rar$DIa0.256\ปลอมยศ.rar: No files to extract,! Cannot open C:\Users\CafeThai\AppData\Local\Temp\Rar$DIa0.256\ปลอมยศ.rar The system cannot find the path specified. ! C:\Users\CafeThai\AppData\Local\Temp\Rar$DIa0.256\ปลอมยศ.rar: No files to extract
test,!dfsd
curti dunn,"""curtis dunn"""
*.*,'*.*
*.dpt_bike_network,'*.dpt_bike_network
*.gdb,'*.gdb
*.gdb,'*.gdb
*.shp,'*.shp
*.shp,'*.shp
*bike_network,'*bike_network
//,'//
///,'///
///,'///
/SFPD-Incidents-2013,'/SFPD-Incidents-2013
Housing,1br 2br
2014,2013
2016 housing development,2016 development
311 request,311
homeless concerns,311
311 case # 4280464,311 case
460 forms schedule a,460 forms schedula
street parking,94110
944 treat ave,944 treat av
Levi's Stadium,AT
population,BUILDING FOOTPRINTS
Businesses Registered in San Francisco,Business Registered in San Francisco
Casey-,"Casey-Fogli Concrete Contractors, Inc."
recruite,Computer science
search DataSF,Data Chicago
Day Labor Program and Women's Collective  Dolores Street Community Services,Day Labor Program and Women's Collective Dolores Street Community Services
Didtrict Attorney,Ditrict Attorney
Parking,Food
Civic Center,Hayes Valley
Transient occupancy tax,Hotel revenue
Indialegal,India
Californie,Kalifornien
94121,Lerner
parking,MUNI
MUNI,MUNI stations GIS
crime incidents,Map__Crime_Incidents_-_from_1_Jan_200
OCC Complainants by Age  2004 9,OCC Complainants by Age 2004 9
OCC Complainants by Age  2004 9,OCC Complainants by Age 2004 9
Street Parking,Parking
Restricted Parking zones,Parking zones
STREET,ROAD
Racial,Race
SFMTA citations,SFMTA
language,Software
Transportation,Taxi
zip,ZIP
zika fever,Zika Fever
air pollution,air
benches,amenities
animal species,animcal species
assessors roll,appraisal roll
aupair,au-pair
water bodies in san francisco,bay area (general)
water bodies san francisco\,bay area general
parkbenches,benches
travel decision,bicycle
bike locker \,bike locker shapefile
traffic numbers,bikes
boarder,border
vendors,budget
AERIAL,building
digital elevation model,building
landuse,building footprints
registered business,business
business  latitutde,business latitutde
"Casey-Fogli Concrete Contractors, Inc.",business license list
business registration certificate,business registration
business tax id,business twax id
busines,businesses
business,businesses
car number,car
car number,car
auto,car accident
registerted car,car number
74 oria,celerity
census,census 2000
,census shapefile
census tracts by street,census tracts by zip codes
center lines,centerlines
child care,childcare
david chiu,chiu
blocks,city lots
311 metrics,cmetrics
concealed weapons permits,concealed weapons permits issued in 2013
Transportation,Taxi
zip,ZIP
zika fever,Zika Fever
air pollution,air
benches,amenities
animal species,animcal species
assessors roll,appraisal roll
aupair,au-pair
water bodies in san francisco,bay area (general)
water bodies san francisco\,bay area general
parkbenches,benches
travel decision,bicycle
bike locker \,bike locker shapefile
traffic numbers,bikes
boarder,border
vendors,budget
AERIAL,building
digital elevation model,building
landuse,building footprints
registered business,business
business  latitutde,business latitutde
"Casey-Fogli Concrete Contractors, Inc.",business license list
business registration certificate,business registration
business tax id,business twax id
busines,businesses
business,businesses
car number,car
car number,car
auto,car accident
registerted car,car number
74 oria,celerity
census,census 2000
,census shapefile
census tracts by street,census tracts by zip codes
center lines,centerlines
child care,childcare
david chiu,chiu
blocks,city lots
311 metrics,cmetrics
concealed weapons permits,concealed weapons permits issued in 2013
crime,"cri,e"
airport crime,crime
incidnets,crime
port,crime
security light,crime
crime,crime maps
"""alain gervais""",curtis dunn
demographoics,demographocs
lgbt,doctor
construction buildres,drywall contractor
education\,education
contours,elevation
elevation model,elevation
elevation,elevaton
school,event
streets,external datasets
gardens,farms
murder,fatal
cable cars,ferry
ferry shapefile,ferry
waterways shapefile,ferry shapefile
spending,finance
crime,fire
fire 2009,fire
fire,fire 2009
stormwater,flooding
homeless,food
restaurant,food
wste,food waste
farms,gardens
gas,gas prices
grocery,gocery
street sizes,green space
business,grocery
handicap door,handicap
handicap,handicap door
health insurance,health
health score,health sore
Census,homeless
crime,homicide
Health,hospitals
income,housing
human waste,human
ortho,imagery
