Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
business,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,340,1.86,0.00%,1.74%,0:01:57,15.16
crime,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,294,2.29,0.00%,2.83%,0:07:07,10.11
crime,/browse/embed?category=&limit=20&limitTo=&q=crime&view_type=rich,226,2,0.00%,0.44%,0:00:39,4.99
311,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,220,2.84,0.00%,4.33%,0:06:26,12.72
streets,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,220,3.22,0.00%,9.46%,0:01:55,14.04
crime,/Public-Safety/Map-Crime-Incidents-from-1-Jan-2003/gxxq-x39z,212,1.82,0.00%,5.71%,0:04:56,6.76
business,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,149,2.69,0.00%,0.75%,0:02:09,21.6
crime,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=crime&view_type=rich,143,2.22,1.40%,1.57%,0:02:23,6.63
meter,/Transportation/Parking-meters/28my-4796,107,1.84,0.00%,1.02%,0:00:37,14.14
crime,/,103,2.62,0.00%,8.15%,0:05:55,10.77
zoning,/Geographic-Locations-and-Boundaries/Zoning-Districts/mici-sct2,101,2.18,0.00%,3.64%,0:02:26,7.2
parcel,/City-Infrastructure/Parcels-With-Planning-Department-Zoning/fpr2-m7in,90,2.12,0.00%,1.57%,0:01:47,9.2
restaurants,/Health-and-Social-Services/Restaurant-Scores/stya-26eb,87,1.75,0.00%,5.26%,0:01:12,5.62
open business,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,85,2.15,0.00%,1.64%,0:01:36,9.18
parking,/Transportation/Parking-meters/28my-4796,83,2.07,0.00%,0.00%,0:03:46,7.46
parks,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,79,2.46,0.00%,6.70%,0:01:38,11.99
land use,/Housing-and-Buildings/Land-Use/ngem-gcfs,75,1.81,0.00%,2.21%,0:01:43,6.31
restaurant,/Health-and-Social-Services/Restaurant-Scores/stya-26eb,74,1.95,0.00%,6.94%,0:03:10,8.57
total housing units,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=total+housing+units&view_type=rich,71,1,0.00%,0.00%,0:00:18,1.99
open business,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,69,1.97,0.00%,2.21%,0:01:38,7
parking meters,/Transportation/Parking-meters/28my-4796,69,1.39,0.00%,0.00%,0:06:13,5.07
Tree,/browse/embed?category=&limit=20&limitTo=&q=Tree&view_type=rich,67,2.69,0.00%,0.00%,0:03:51,5.48
budget,/City-Management-and-Ethics/Budget/xdgd-c79v,66,2.58,0.00%,2.94%,0:07:03,8.58
business,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,66,2.45,0.00%,8.02%,0:04:18,12.94
energy,/Energy-and-Environment/Existing-Commercial-Buildings-Energy-Performance-O/j2j3-acqj,66,2,0.00%,1.52%,0:02:26,6.44
restaurants,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=restaurants&view_type=rich,66,1.32,0.00%,0.00%,0:00:09,2.53
total housing units,/browse/embed?category=&limit=20&limitTo=&q=total+housing+units&view_type=rich,66,1.02,0.00%,0.00%,0:00:36,2.06
trees,/City-Infrastructure/Street-Tree-List/tkzw-k3nq,64,2.03,0.00%,1.54%,0:04:35,8.39
inventory,/City-Management-and-Ethics/Dataset-Inventory/y8fp-fbf5,63,1.44,0.00%,2.20%,0:02:57,5.14
operate business,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,63,2.03,0.00%,0.00%,0:00:25,21.29
