search_term,result_count_raw,result_count,result_datasets
311,"
      48 Results
        ",48,"311 Information Requests by Month, 311 Call Metrics, Case Data from San Francisco 311 (SF311), 311 Explorer, Top 311 Cases By Category, Case Data from San Francisco 311 (SF311), 311 Cases by Channel, 311 Cases by Category - Tree Map, Donut Chart of 311 Cases by Category, Open Graffiti 311 Cases (Last 90 Days)"
460,"
      193 Results
        ",193,"Campaign Finance - FPPC Form 460 - Summary Totals, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions, Campaign Finance - FPPC Form 460 - Schedule E - Payments Made, Campaign Finance - FPPC Form 460 - Schedule C - Non-Monetary Contributions, Campaign Finance - FPPC Form 460 - Schedule A - Cumulative Contributions, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions - Board of Education - November 4, 2014 Election, Campaign Finance - FPPC Form 460 - Schedule B1 - Loans Received, Campaign Finance - FPPC Form 460 - Schedule I - Miscellaneous Increases to Cash, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions - Board of Supervisors - District 10 - November 4, 2014 Election, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions - Community College Board - November 4, 2014 Election"
911,"
      4 Results
        ",4,"Fire Department Calls for Service, Police Calls for Service, Fire Department Calls For Service (2016), FD CFS sorted by earliest received date"
accident,"
      1 Result
        ",1,Traffic Accidents (Previous 3 Months)
accidents,"
      1 Result
        ",1,Traffic Accidents (Previous 3 Months)
address,"
      147 Results
        ",147,"Addresses - Enterprise Addressing System, Addresses with Units - Enterprise Addressing System (EAS), Updated Treasure Island Addresses and Building Numbers, Map: Crime Incidents - from 1 Jan 2003, SFPD Incidents - from 1 January 2003, Case Data from San Francisco 311 (SF311), Mobile Food Facility Permit, SFPD Incidents - Previous Year (2015), All cases map view, West Portal Area"
addresses,"
      147 Results
        ",147,"Addresses - Enterprise Addressing System, Addresses with Units - Enterprise Addressing System (EAS), Updated Treasure Island Addresses and Building Numbers, Map: Crime Incidents - from 1 Jan 2003, Case Data from San Francisco 311 (SF311), West Portal Area, Graffiti - 30 Days, Registered Business Locations - San Francisco, D7 Pedestrian Issues, 90 Day Cases by Neighborhood"
aerial,"
      1 Result
        ",1,SF Urban Tree Canopy
airport,"
      23 Results
        ",23,"2011 SFO Customer Survey Data Set + Dictionary, Airport (SFO) Contract Opportunities, 2013 SFO Customer Survey Data Set + Dictionary, Air Traffic Passenger Statistics, 2012 SFO Customer Survey Data Set + Dictionary, SFO Gate and Stand Assignment Information, Air Traffic Landings Statistics, Noise Exceedance Rating, SFO Passenger Services, SFO Things To Do"
alcohol,"
      0 Results
        ",0,
art,"
      5 Results
        ",5,"(Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, SF Civic Art Collection, San Francisco Arts Commission Grants FY2004-2014, Privately Owned Public Open Space (POPOS) and Public Art, SFO Museum Exhibitions"
assessor,"
      19 Results
        ",19,"Assessor Block Maps, City Lots, San Francisco Assessor Blocks, Total Expenditures for Candidate Controlled Committees - Assessor - November 4, 2014 Election, Cash Balance for Candidate Controlled Committees - Assessor - November 4, 2014 Election, Total Contributions for Candidate Controlled Committees - Assessor - November 4, 2014 Election, Total Contributions for Candidate Controlled Committees - Assessor - November 5, 2013 Election, Total Expenditures for Candidate Controlled Committees - Assessor - November 5, 2013 Election, Cash Balance for Candidate Controlled Committees - Assessor - November 5, 2013 Election, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions - Assessor - November 4, 2014 Election"
ban,"
      4 Results
        ",4,"Compensated Advocacy Ban Waivers, Compensated Advocacy Ban Waivers, Post- Employment Restriction Waivers, Post- Employment Restriction Waivers"
bart,"
      2 Results
        ",2,"Public Transportation Stops and Routes, San Francisco, CA, Bay Area Rapid Transit Districts in San Francisco"
basemap,"
      10 Results
        ",10,"CCSF Digital Basemap CAD Files, Street Names, List of Streets and Intersections, San Francisco Basemap Street Centerlines, List of Intersections only, Street Segment and Intersection (CNN) Change Log, Miles Of Streets, Street Nodes, City curbs and islands, Recorded Parcel Geography with Transaction Date History"
bicycle,"
      15 Results
        ",15,"Bicycle Parking (Public), Street-Use Permits, Map of Bicycle Parking (Public), Bicycle Green Wave Signal Timing, Map of Bicycle Green Wave Signal Timing, Street-Use Permit Map, SFMTA Bikeway Network Point Features, SFMTA Bikeway Network, Bike Volume Manual Counts, Bike Counters"
bike,"
      12 Results
        ",12,"Bike Counters, Bike Volume Manual Counts, Bike Share Stations, SFMTA Bikeway Network Point Features, Bicycle Parking (Public), SFMTA Bikeway Network, Right of Way Exception Data, Map of Bicycle Parking (Public), Green Connections Network, Travel Decision Survey Data 2014"
block,"
      110 Results
        ",110,"Assessor Block Maps, San Francisco Assessor Blocks, Mobile Food Facility Permit, Census 2010: Blocks for San Francisco, Mobile Food Permit Map, List of Blocks Where DPW Has a Tree Maintenance Agreement, Mobile Food Schedule, Right of Way Exception Data, Basic Development Project Pipeline Map 2012 Q1, San Francisco Development Pipeline 2012 Quarter 1"
blocks,"
      110 Results
        ",110,"CCSF Digital Basemap CAD Files, List of Blocks Where DPW Has a Tree Maintenance Agreement, Assessor Block Maps, San Francisco Assessor Blocks, Census 2010: Blocks for San Francisco, Census 2000: Blocks for San Francisco (no water), Census 2000: Block Groups for San Francisco (no water), Boiler Permits, Mobile Food Permit Map, 2011 Housing Inventory"
boundary,"
      132 Results
        ",132,"Planning Districts, Presidio Boundary, Historic Supervisor Districts 2002 to 2012, College Locations and Boundaries in San Francisco (2011), SF Find Neighborhoods, Planning Neighborhood Groups Map, SFPD Incidents - Previous Year (2015), SFPD Incidents - from 1 January 2003, Street Names, Supervisor District to ZIP Code Crosswalk"
budget,"
      7 Results
        ",7,"Budget, Budget - FTE, Budget - FTE: Fiscal Year 2016, FY2015 FTE County by Department, Scorecard Measures, Citywide Performance Measurement Annual Report FY14 Dataset, Citywide Performance Measurement Annual Report FY13 Dataset"
building,"
      95 Results
        ",95,"Existing Commercial Buildings Energy Performance Ordinance Report, Building Footprints, Building Permits, San Francisco Development Pipeline 2015 Quarter 1, San Francisco Development Pipeline 2013 Quarter 3, Residential Building Requests - FY 2013, Department of Building Inspection Monthly Permit Reports, Building Complaints, Existing Commercial Buildings Energy Performance Ordinance Report, Building, Plumbing and Electrical Permit Inquiry"
buildings,"
      95 Results
        ",95,"Existing Commercial Buildings Energy Performance Ordinance Report, Building Footprints, Building Permits, Street Space Permits aka: DPT Tow Verification List, Residential Building Requests - FY 2013, Department of Building Inspection Monthly Permit Reports, Building Complaints, Existing Commercial Buildings Energy Performance Ordinance Report, Building, Plumbing and Electrical Permit Inquiry, Energy Benchmarking, San Francisco Municipal Buildings"
bus,"
      4 Results
        ",4,"SFMTA routes and stops for March 2012, Parking meters, Meter Location Lookup, Vehicle Restrictions"
business,"
      36 Results
        ",36,"Registered Business Locations - San Francisco, Open Business Location_ID only, Active Business Locations, cases and businesses, Registered Businesses sorted by End Date, Map of Registered Business Locations, Total Contributions for Committees Formed to Support or Oppose Measure E- Business and Tax Regulation Code - Enact Gross Receipts Tax and Phase Out Payroll Expense Act of 2012 - November 6, 2012 Election, Total Expenditures for Committees Formed to Support or Oppose Measure E- Business and Tax Regulation Code - Enact Gross Receipts Tax and Phase Out Payroll Expense Act of 2012 - November 6, 2012 Election, US Census Bureau Data, Airport (SFO) Contract Opportunities"
businesses,"
      36 Results
        ",36,"Registered Business Locations - San Francisco, cases and businesses, Open Business Location_ID only, Active Business Locations, Map of Registered Business Locations, Registered Businesses sorted by End Date, Total Contributions for Committees Formed to Support or Oppose Measure E- Business and Tax Regulation Code - Enact Gross Receipts Tax and Phase Out Payroll Expense Act of 2012 - November 6, 2012 Election, Total Expenditures for Committees Formed to Support or Oppose Measure E- Business and Tax Regulation Code - Enact Gross Receipts Tax and Phase Out Payroll Expense Act of 2012 - November 6, 2012 Election, US Census Bureau Data, Airport (SFO) Contract Opportunities"
census,"
      28 Results
        ",28,"US Census Bureau Data, Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods, census_tracts_odata2, Analysis Neighborhoods, Census 2000: Tracts for San Francisco (no water), Sfpark On Street Parking Census 201404, Traffic Analysis Zones, Off-street parking census GIS data, Census 2010: Tracts for San Francisco, Census 2010: Blocks for San Francisco"
construction,"
      46 Results
        ",46,"DPW Construction Projects Certified Payroll Reports (CPR), San Francisco Pipeline Map Fourth Quarter 2012, Envista Projects for Utility Excavation and Paving, DPW Utility Excavation and Paving Map, Envista Projects for Paving, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, Street Space Permits aka: DPT Tow Verification List, San Francisco Development Pipeline 2015 Quarter 1, San Francisco Development Pipeline 2014 Quarter 2"
contour,"
      1 Result
        ",1,Elevation Contours
contours,"
      1 Result
        ",1,Elevation Contours
crime,"
      15 Results
        ",15,"Map: Crime Incidents - from 1 Jan 2003, SFPD Incidents - from 1 January 2003, Treasure Island Crime Map - Previous 3 Months, SFPD Incidents - Current Year (2016), SFPD Incidents - Previous Year (2014), Police Calls for Service, Historic Police Department Crime Reporting Plots, Burglaries in Taraval Jan 1-Aug 28, 2015, Burglaries in Taraval Jan 1-Aug 28, 2014, 700 BuenaVistaWest"
crimes,"
      15 Results
        ",15,"Map: Crime Incidents - from 1 Jan 2003, Treasure Island Crime Map - Previous 3 Months, Historic Police Department Crime Reporting Plots, SFPD Incidents - from 1 January 2003, Police Calls for Service, SFPD Incidents - from 1 January 2003, SFPD Incidents - Previous Year (2014), West Portal Area, SFPD Incidents - Current Year (2016), Mid-Market Assaults"
csv,"
      17 Results
        ",17,"Off-street parking lots and parking garages map, Off-Street parking lots and parking garages, Off-street parking census GIS data, Rollup - Rev, FY, Char, Parking, PrivateGarages/Lots, FY2015 FTE County by Department, Spending And Revenue, Vendor Payments (Purchase Order Summary), Budget"
curb,"
      7 Results
        ",7,"Curb Ramps, Map of Curb Ramps, City curbs and islands, Blue Zone (Accessible) Parking, Map of Blue Zone (Accessible) Parking, Disabled parking spaces, Parking Regulations"
curbs,"
      7 Results
        ",7,"Curb Ramps, Map of Curb Ramps, City curbs and islands, Blue Zone (Accessible) Parking, Map of Blue Zone (Accessible) Parking, Disabled parking spaces, Parking Regulations"
dem,"
      3 Results
        ",3,"Fire Department Calls for Service, Fire Department Calls For Service (2016), FD CFS sorted by earliest received date"
demographic,"
      24 Results
        ",24,"Analysis Neighborhoods, Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods, District 10 Streetlight Cases, SF Shoreline and Islands, District 10 Streetlight Cases, Boiler Permits, (Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, Plumbing Permits, Electrical Permits, Travel Decision Survey Data 2015"
demographics,"
      24 Results
        ",24,"(Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, District 10 Streetlight Cases, Analysis Neighborhoods, Community Resiliency Indicator System, Building Permits, Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods, San Francisco Development Pipeline 2015 Quarter 1, District 10 Streetlight Cases, Travel Decision Survey Data 2014, Boiler Permits"
density,"
      2 Results
        ",2,"(Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, Privately Owned Public Open Space (POPOS) and Public Art"
district,"
      288 Results
        ",288,"Supervisor Districts as of April 2012, Supervisor District to ZIP Code Crosswalk, 90 Day Cases by District, Planning Districts, Zoning Districts, District 10 Streetlight Cases, District 10 Streetlight Cases, Campaign Finance - Individual Expenditure Ceilings IECs - Board of Supervisors - District 10 - November 4, 2014 Election, Third Party Spending - District 7 - November 6, 2012 Election, Campaign Finance - Individual Expenditure Ceilings IECs - Board of Supervisors - District 8 - November 4, 2014 Election"
districts,"
      288 Results
        ",288,"Supervisor Districts as of April 2012, 90 Day Cases by District, Zoning Districts, Supervisor District to ZIP Code Crosswalk, District 10 Streetlight Cases, District 10 Streetlight Cases, Planning Districts, Current Police Districts, Historic Police Districts, 90 Day Cases by District filtered view"
earthquake,"
      2 Results
        ",2,"Areas Damaged by Fire Following 1906 Earthquake, San Francisco Seismic Hazard Zones"
education,"
      57 Results
        ",57,"Third Party Spending - Board of Education - November 4, 2014 Election, SF Civic Art Collection, (Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions - Board of Education - November 4, 2014 Election, Total Expenditures for Candidate Controlled Committees - Board of Education - November 4, 2014 Election, Total Contributions for Candidate Controlled Committees - Board of Education - November 4, 2014 Election, Campaign Finance - List of Candidates Running for Office in November 2014 who have Accepted the Voluntary Expenditure Ceiling - Board of Education, Cash Balance for Candidate Controlled Committees - Board of Education - November 4, 2014 Election, Third Party Spending - Board of Education - November 6, 2012 Election, Scorecard Measures"
elevation,"
      2 Results
        ",2,"Elevation Contours, San Francisco Flood Health Vulnerability"
