,Location,Location_Count
0,francisco,492
1,francisco san,280
2,california,136
3,washington,44
4,shapefile,41
5,san,32
6,pessoa janeiro de ipanema rio,29
7,oakland,29
8,bayview,27
9,alameda,26
10,chicago,19
11,supervisorial,17
12,janeiro,16
13,saigon,14
14,persia,14
15,clara santa,14
16,presidio,12
17,usa,12
18,richmond,11
19,carolina,11
20,potrero,10
21,muni,10
22,castro,10
23,daly,10
24,portola,9
25,africa,9
26,yerba buena,9
27,tenderloin,9
28,266725th,8
29,singapore,8
30,lok,8
31,guerrero,7
32,sutter,7
33,ingleside,7
34,santiago,7
35,polk,7
36,sanfrancisco,6
37,attonrey,6
38,minnesota,6
39,lombard,6
40,naples,6
41,yerba,6
42,balboa,6
43,rio de janeiro,6
44,shanghai,5
45,berkeley,5
46,ukraine,5
47,springfield,5
48,buena yerba,5
49,vallejo,5
50,hayes,5
51,mexico,5
52,prieta,5
53,santa,5
54,hayward,5
55,paris,4
56,bogota,4
57,pando,4
58,athens,4
59,rutherford,4
60,seoul,4
61,fran san,4
62,haro,4
63,florida,4
64,tehran,4
65,worcester,4
66,mateo,4
67,angeles los,4
68,alabama,4
69,dakota,4
70,kml,4
71,francisco california san,4
72,buckingham,4
73,merced,3
74,ankara,3
75,ufa,3
76,bos,3
77,france,3
78,richmond carshare,3
79,connecticut,3
80,tenderlion,3
81,niagara,3
82,richland,3
83,argentina,3
84,texas,3
85,clifton,3
86,oklahoma,3
87,colombia,3
88,bergamo,3
89,franconia,3
90,judah,3
91,brooklyn,3
92,budapest,3
93,bristol,3
94,baltimore,3
95,fillmore,3
96,seattle,3
97,conern,3
98,amor santiago,3
99,indonesia,3
100,fremont,3
101,kmz,3
102,thailand,3
103,arcgis,3
104,benito,3
105,vienna,3
106,levis,3
107,timisoara,3
108,verona,3
109,neighboure,2
110,shapefile francisco san,2
111,newhall,2
112,moldova,2
113,riyadh,2
114,btu bucharest buckingham,2
115,ned,2
116,cordova,2
117,franciscp,2
118,pineville,2
119,leavenworth,2
120,stockton,2
121,usf,2
122,arabia saudi,2
123,supervisorial shapefiles,2
124,parkin,2
125,tokyo,2
126,india,2
127,alameda gervais alain ais,2
128,americas,2
129,longview,2
130,tmnfyvry,2
131,karachi,2
132,menlo,2
133,grunewald,2
134,japan,2
135,ethiopia,2
136,pune punjab,2
137,kerb,2
138,osaka,2
139,fargo,2
140,francisco busstops san,2
141,orizaba,2
142,ragusa,2
143,syria,2
144,romania,2
145,makassar,2
146,pittsburgh,2
147,thai,2
148,censsu,2
149,countours,2
150,garffiti,2
151,arest,2
152,checkin francisco san,2
153,montgomery,2
154,iceland,2
155,germany,2
156,tanzania,2
157,francisco san gigants,2
158,pankow,2
159,caltrain,2
160,mena,2
161,boundries francisco san,2
162,lexington,2
163,croatia,2
164,taiwan,2
165,boundry,2
166,mariposa,2
167,stuttgart,2
168,pakistan,2
169,rochelle,2
170,louisiana,2
171,spokane,2
172,hunan,2
173,portugal,2
174,staions,2
175,kenya,2
176,italy,2
177,brasilv brazil brasil,2
178,annapolis,2
179,sacramento,2
180,brussels,2
181,tuscany,2
182,jakarta jaipur,2
183,cupertino,2
184,boundries,2
185,jose,2
186,mashhad,2
187,sussex,2
188,shapefile presidio,2
189,czech,2
190,madrid,2
191,malaysia,2
192,valverde,2
