,Name,Name_Count,Count
0,francisco,,272
1,san,,142
2,bart,,85
3,bernal,,37
4,castro,,24
5,ellis,,22
6,francisco san,,18
7,filbert,,18
8,shapefile san,,17
9,mao,,16
10,basemap san,,13
11,harrison,,13
12,mateo,,12
13,aaron peskin,,12
14,jones jim,,11
15,geary,,11
16,herrera,,11
17,maher,,10
18,andreas,,9
19,shapefile,,9
20,sfmta stitt,,8
21,stillman,,8
22,brannan,,8
23,ryan,,7
24,haight,,7
25,judah,,7
26,jose,,7
27,diana lerner,,7
28,shapefile bart,,6
29,webster,,6
30,taz,,6
31,george,,6
32,garcia,,6
33,cesar chavez,,6
34,harris,,6
35,mary jung,,6
36,steuart,,6
37,haight ashbury,,5
38,broderick,,5
39,hayes,,5
40,lewis,,5
41,landuse san,,5
42,michael schulz,,5
43,enriquez roldan,,5
44,ada,,5
45,bryant,,4
46,carlson,,4
47,levi strauss,,4
48,gdb san,,4
49,herrera dennis,,4
50,egbert,,4
51,jon,,4
52,joanne minsky,,4
53,polk,,4
54,anthony,,4
55,mary jung dccc,,4
56,cyril magnin,,4
57,farrell,,4
58,shapefiles,,3
59,kate,,3
60,ned,,3
61,sfpd,,3
62,behested,,3
63,bcdc,,3
64,calvin,,3
65,stella,,3
66,bathymetry,,3
67,valle,,3
68,muni,,3
69,facilties san,,3
70,burlingame,,3
71,dr francisco christopher san,,3
72,la playa judah,,3
73,angelo thomas tia matinez,,3
74,anson mooney,,3
75,bicyle,,3
76,claremont,,3
77,briscoe,,3
78,bikeshare,,3
79,walsh,,3
80,chaz,,3
81,ahmed anda agustin,,3
82,hawkins,,3
83,baum,,3
84,ave lawrence,,3
85,toby,,3
86,ami,,3
87,clara santa,,3
88,wiener scott,,3
89,johns,,3
90,pritzker,,3
91,broderick st,,2
92,bradstreet dunbar,,2
93,vincent india kircher,,2
94,shotspotter,,2
95,jessie,,2
96,carsharing casale,,2
97,bronwen,,2
98,washington george,,2
99,vincent kircher,,2
100,mcallister,,2
101,minh ord,,2
102,lisa,,2
103,roldan,,2
104,neigborhood san,,2
105,sanborn,,2
106,bock,,2
107,ted,,2
108,mel murphy,,2
109,checkin san,,2
110,richard,,2
111,russell corr,,2
112,pelosi nancy,,2
113,steiner,,2
114,raymond chow,,2
115,newyork,,2
116,sanfrancisco,,2
117,carmen,,2
118,taz981shp,,2
119,ellis ellen hu,,2
120,fulton,,2
121,scanlan,,2
122,siddiq sid,,2
123,bristol gallareadwilson wilson brigitte,,2
124,cityfeatures,,2
125,nguyen,,2
126,moscone,,2
127,johnson richard,,2
128,sao clara santa,,2
129,san gigants,,2
130,zuidwolde,,2
131,ami dfsd,,2
132,anne wong shevin,,2
133,busstops san,,2
134,petersen,,2
135,bock sharmon sharmin,,2
136,daniel keidel,,2
137,brian dussealt,,2
138,jose san,,2
139,cohen malia,,2
140,molnar,,2
141,reyes,,2
142,curtis dunn,,2
143,johnson,,2
144,pratt curtiss curtis dunn curti,,2
145,crimendata san,,2
146,crim san,,2
147,plawiak,,2
148,weiner weil,,2
149,naftaly,,2
150,oakley,,2
151,fehr,,2
152,james,,2
153,malaysia malcolm xiang,,2
154,bussiness,,2
155,phelps phenaos,,2
156,155f183 pacheco,,2
157,neigborhoods,,2
158,eshopping,,2
159,sano,,2
160,richmond titus richard,,2
161,turk,,2
162,adrian,,2
163,eid rashad,,2
164,beethoven,,2
165,residental,,2
166,kogan vadim,,2
167,samson chow,,2
168,townsend,,2
169,saeger molly,,2
170,elliott isenberg ellis ellen hu,,2
171,evicitions,,2
172,hutcherson nakiya nairobi,,2
173,watson watr,,2
174,joshua arce,,2
175,tay taz,,2
176,wilson,,2
177,derek,,2
178,fong walter,,2
179,dyogi paul,,2
180,marie,,2
181,brophy,,2
182,dol,,2
183,dorothy tyson,,2
184,schulz,,2
185,bateman,,2
186,bart bartshape,,2
187,adam ada,,2
188,bruno carlos san,,2
189,talbot bento taiwan,,2
190,firestation,,2
191,tilly,,2
192,streetlights,,2
193,duncan,,2
194,2br,,2
195,tian yun,,2
196,douglass,,2
197,a gebhardt elizabeth,,2
198,george l,,2
199,neiughborhoods rodriguez nelson,,2
200,blake rawdin,,2
201,hilary ronen,,2
202,lorenzo san,,2
203,jeffrey ebstein d,,2
204,duff,,2
205,christopher luo chong christensen chiu,,2
206,carollo,,2
207,restaurent,,2
208,maloney shannon,,2
209,clayton,,2
210,neeson tommy,,2
211,birdsm birt,,2
212,jeff,,2
213,geodatabase san,,2
214,spendings,,2
215,walton charles,,2
216,geoffrey derrick scott d kostka,,2
217,seyfarth shaw,,2
218,dawer fazil,,2
219,j michael,,2
220,districtsd san,,2
221,haightasbury,,2
222,gotha gordon gos stuart,,2
223,remi,,2
224,charley christopher crehan,,2
225,carman carmen carl,,2
226,fonda,,2
227,rex andrew,,2
228,piotr,,2
229,neudachin,,2
230,bella,,2
231,ina,,2
232,powell,,2
233,miami blair michael d jeff,,2
234,kim,,2
235,vassallo,,2
236,howth howard,,2
237,boundries,,2
238,speef,,2
239,josh,,2
240,wiseman,,2
241,jang janet macleod,,2
242,incashed,,2
243,gervais alain ais,,2
244,aziza,,2
245,eric,,2
246,martin,,2
247,ingle,,2
248,chavez,,2
249,bernal berkley,,2
250,buss businss busroute,,2
251,brian dusseault,,2
252,cirt,,2
253,precints sfpd,,2
254,foleys johnson johnny,,2
255,sitepx,,2
256,lino flavia,,2
257,clementina cliate,,2
258,scalia antonin antioquia,,2
259,octavia st,,2
260,gervais alain,,2
261,kronenberg anne,,2
262,stuart,,2
263,ca94118,,2
264,luis aroche lully,,2
265,conway,,2
266,van,,2
267,dolores,,2
268,ariel armin,,2
269,teaheeme,,2
270,belmonte ceccx,,2
271,2400j,,2
272,webster christopher chu,,2
273,taylor,,2
274,johnny,,2
275,diego,,2
276,james st,,2
277,jung,,2
278,margaret,,2
279,cohen coffeee,,2
280,bart statios,,2
281,jane kim,,2
282,dunbar,,2
283,lyft maher,,2
284,94105xc3xa7,,1
285,angeles bateman,,1
286,healey edward,,1
287,stree,,1
288,webster christopher,,1
289,osm,,1
290,armin wong arnold arlou eric,,1
291,hasihmoto osm oscar,,1
292,hercules adams henry,,1
293,owen david,,1
294,sanchez sanchex,,1
295,parasail,,1
296,robert scott hickman colburn,,1
297,diego rivera,,1
298,inequal san,,1
299,henderson,,1
300,charles,,1
301,wilson johnny,,1
302,liang bai,,1
303,fotopost fotprints,,1
304,jessie st,,1
305,dvorak,,1
306,newcomb,,1
307,smfta smit,,1
308,joel,,1
309,cheruvattam,,1
310,michael,,1
311,holliday,,1
312,kunal ktjigk7t mukherjee,,1
313,lobbylist lobbysts,,1
314,sereno el,,1
315,empolyment,,1
316,rex francisco san zimmerman benton andrew andale anaya,,1
317,dccc laeuchli mary jung martin,,1
318,abe,,1
319,romwald romania rome ron conway,,1
320,stella kim,,1
321,gandhi maher,,1
322,tep terain,,1
323,basemap bart,,1
324,ney,,1
325,figueroa maite,,1
326,jean ng,,1
327,marcus neiman,,1
328,northrop nosie,,1
329,datasf,,1
330,shaffer ellen,,1
331,estoppels,,1
332,travis kalanick,,1
333,naylor,,1
334,kallosturin kalyan kaiser,,1
335,hetch hercules hickman hewlett,,1
336,georgy norkin,,1
337,scalia sb272,,1
338,deyoung dhr,,1
339,cindy,,1
340,choy justin,,1
341,daniel danielades maria,,1
342,thomas coates,,1
343,stitt stillings holland steven,,1
344,heneghan,,1
345,zipcodes,,1
346,spasde kate,,1
347,lok melanie roos mello,,1
348,belmonte,,1
349,duns,,1
350,brian bray burr,,1
351,daniel feinberg lucas patterson,,1
352,tomales tomas aragon waddell,,1
353,francisco businessregisteredsan businesslocationssanfrancisc,,1
354,ariel,,1
355,marik richard,,1
356,francis sophia,,1
357,gautam,,1
358,jeanette feddes ortiz karen john lum,,1
359,jessica johnson jeff nagel jennifer wong amador,,1
360,harris harmon,,1
361,kaukonen yee jorma jonah josefowitz joliet illinois,,1
362,birmingham birt,,1
363,lloyd emily,,1
364,ortiz karen john lum,,1
365,matthew e brenner,,1
366,kao kate,,1
367,esquivel,,1
368,restuarants,,1
369,rutherford rwpa ryan,,1
370,philz phill,,1
371,mj,,1
372,netfile marcus neiman,,1
373,francisco pfister,,1
374,crocker,,1
375,francois terry,,1
376,conservatorship,,1
377,monica santa,,1
378,carroll,,1
379,tay,,1
380,philantropic ginsburg phil philantropy,,1
381,taraval,,1
382,raphael needleman eid rashad,,1
383,reynolds kim,,1
384,santana,,1
385,nguyen francis,,1
386,sanchez casale,,1
387,dwg,,1
388,tanzania taqueria castillo la,,1
389,labz cervantes chariotz,,1
390,adams ada,,1
391,sato,,1
392,pepi,,1
393,bayview hutcherson huntington hurley,,1
394,jose guerrero san,,1
395,myles lennon,,1
396,busniess buss busroute,,1
397,shoerline,,1
398,serrano,,1
399,octavia,,1
400,hammond rousey james jakarta jaipur jamacia kim henry jane peavey,,1
401,sfcrime,,1
402,vooc,,1
403,roos lok weil mello melinda,,1
404,lindsay,,1
405,geoid geojson,,1
406,bronwen lemmon,,1
407,planningneighborhoods,,1
408,paulo sao clara santa,,1
409,nlcd,,1
410,scott,,1
411,spraetz rwanda ryan,,1
412,sanders polacci bert bernie,,1
413,guida george,,1
414,blake,,1
415,sobel,,1
416,copntour,,1
417,erna ermc eric suess,,1
418,tse,,1
419,clement,,1
420,sattelite sato,,1
421,hou,,1
422,jenh jeng nancy,,1
423,perry michael,,1
424,diana timothy lerner quicklys quayle,,1
