search_term,processed_search_term,search_tag
crime,crime,Search Term
business,business,Search Term
311,311,Search Term
crime,crime,Search Term
streets,streets,Search Term
crime,crime,Search Term
crime,crime,Search Term
parking,parking,Search Term
crime,crime,Search Term
meter,meter,Search Term
crime,crime,Search Term
parcel,parcel,Search Term
311,311,Search Term
311,311,Search Term
restaurant,restaurant,Search Term
business,business,Search Term
shapefile,shapefile,Search Term
population,population,Search Term
parks,parks,Search Term
restaurants,restaurants,Search Term
restaurants,restaurants,Search Term
operate business,operate business,Search Term
open business,open business,Search Term
business,business,Search Term
water,water,Search Term
zoning,zoning,Search Term
parking,parking,Search Term
income,income,Search Term
streets,streets,Search Term
business,business,Search Term
restaurants,restaurants,Search Term
parking,parking,Search Term
parking,parking,Search Term
bike,bike,Search Term
trees,trees,Search Term
census,census,Search Term
streets,streets,Search Term
traffic,traffic,Search Term
inclusionary,inclusionary,Search Term
parcels,parcels,Search Term
restaurants,restaurants,Search Term
elevation,elevation,Search Term
land use,land use,Search Term
parking,parking,Search Term
neighborhoods,neighborhoods,Search Term
Tree,tree,Search Term
homeless,homeless,Search Term
population,population,Search Term
street,street,Search Term
parking,parking,Search Term
open business,open business,Search Term
school,school,Search Term
crime,crime,Search Term
housing,housing,Search Term
schools,schools,Search Term
building footprints,building footprints,Search Term
education,education,Search Term
food,food,Search Term
neighborhood,neighborhood,Search Term
building,building,Search Term
total housing units,total housing units,Search Term
dataset inventory,dataset inventory,Search Term
food truck,food truck,Search Term
traffic,traffic,Search Term
shapefiles,shapefiles,Search Term
tree,tree,Search Term
parcel,parcel,Search Term
gis,gis,Search Term
police,police,Search Term
total housing units,total housing units,Search Term
weather,weather,Search Term
budget,budget,Search Term
food trucks,food trucks,Search Term
poop,poop,Search Term
restaurant,restaurant,Search Term
restaurants,restaurants,Search Term
bicycle,bicycle,Search Term
evictions,evictions,Search Term
fire,fire,Search Term
neighborhoods,neighborhoods,Search Term
parking meters,parking meters,Search Term
population,population,Search Term
rent,rent,Search Term
salary,salary,Search Term
sfpd,sfpd,Search Term
parcel,parcel,Search Term
park,park,Search Term
parking meters,parking meters,Search Term
energy,energy,Search Term
land use,land use,Search Term
neighborhoods,neighborhoods,Search Term
city lots,city lots,Search Term
homeless,homeless,Search Term
muni,muni,Search Term
open business,open business,Search Term
shapefile,shapefile,Search Term
wind monitoring,wind monitoring,Search Term
energy,energy,Search Term
homeless,homeless,Search Term
meter,meter,Search Term
operate business,operate business,Search Term
pipeline,pipeline,Search Term
trees,trees,Search Term
building footprint,building footprint,Search Term
fire incidents,fire incidents,Search Term
land use,land use,Search Term
shapefile,shapefile,Search Term
shapefile,shapefile,Search Term
shapefiles,shapefiles,Search Term
zoning districts,zoning districts,Search Term
address,address,Search Term
addresses,addresses,Search Term
assessor,assessor,Search Term
business,business,Search Term
inventory,inventory,Search Term
shapefile,shapefile,Search Term
street cleaning,street cleaning,Search Term
trees,trees,Search Term
business license,business license,Search Term
census,census,Search Term
demographics,demographics,Search Term
inventory,inventory,Search Term
lobbyist,lobbyist,Search Term
neighborhood,neighborhood,Search Term
parking,parking,Search Term
roads,roads,Search Term
school,school,Search Term
zoning,zoning,Search Term
building permits,building permits,Search Term
citylots,citylots,Search Term
contours,contours,Search Term
open business,open business,Search Term
parking,parking,Search Term
parks,parks,Search Term
permit,permit,Search Term
traffic,traffic,Search Term
transit,transit,Search Term
water,water,Search Term
311,311,Search Term
eviction,eviction,Search Term
graffiti,graffiti,Search Term
human waste,human waste,Search Term
meter,meter,Search Term
parcel,parcel,Search Term
parking meter,parking meter,Search Term
restaurant,restaurant,Search Term
topography,topography,Search Term
weather,weather,Search Term
Crime,crime,Search Term
art,art,Search Term
bart,bart,Search Term
buildings,buildings,Search Term
business,business,Search Term
energy,energy,Search Term
parks,parks,Search Term
shapefile,shapefile,Search Term
street,street,Search Term
traffic,traffic,Search Term
BAN,ban,Search Term
BUSINESS,business,Search Term
Property Assessment Roll,property assessment roll,Search Term
businesses,businesses,Search Term
crime,crime,Search Term
envista,envista,Search Term
eviction notices,eviction notices,Search Term
inventory,inventory,Search Term
noise,noise,Search Term
rent,rent,Search Term
restaurants,restaurants,Search Term
salary,salary,Search Term
water,water,Search Term
Streets,streets,Search Term
bike,bike,Search Term
bike,bike,Search Term
budget,budget,Search Term
building,building,Search Term
census,census,Search Term
crime,crime,Search Term
crimes,crimes,Search Term
health,health,Search Term
income,income,Search Term
meter,meter,Search Term
movie,movie,Search Term
neighborhood,neighborhood,Search Term
paving,paving,Search Term
san francisco,san francisco,Search Term
shapefiles,shapefiles,Search Term
street,street,Search Term
taxi,taxi,Search Term
traffic,traffic,Search Term
zoning,zoning,Search Term
911,911,Search Term
business,business,Search Term
census,census,Search Term
contour,contour,Search Term
elevation,elevation,Search Term
fire,fire,Search Term
housing,housing,Search Term
land use,land use,Search Term
map,map,Search Term
muni,muni,Search Term
parking meters,parking meters,Search Term
pedestrian,pedestrian,Search Term
shoreline,shoreline,Search Term
street sweeping,street sweeping,Search Term
taxi,taxi,Search Term
Crime,crime,Search Term
Crime,crime,Search Term
building permits,building permits,Search Term
compensation,compensation,Search Term
crime,crime,Search Term
crime data,crime data,Search Term
evictions,evictions,Search Term
inclusionary,inclusionary,Search Term
open space,open space,Search Term
parking meter,parking meter,Search Term
pipeline,pipeline,Search Term
property assessment roll,property assessment roll,Search Term
restaurant,restaurant,Search Term
school,school,Search Term
streets,streets,Search Term
transportation,transportation,Search Term
weather,weather,Search Term
wind,wind,Search Term
Crime,crime,Search Term
Crime,crime,Search Term
GIS,gis,Search Term
SCHOOL,school,Search Term
budget,budget,Search Term
building,building,Search Term
business licenses,business licenses,Search Term
census,census,Search Term
crime,crime,Search Term
csv,csv,Search Term
data catalog,data catalog,Search Term
flood,flood,Search Term
