,Text,Names
0,,1st
1,,2nd
2,,3rd
3,,4th
4,,5th
5,,6th
6,,7th
7,,8th
8,,9th
9,,10th
10,,11th
11,,12th
12,,13th
13,,14th
14,,15th
15,,16th
16,,17th
17,,18th
18,,19th
19,,20th
20,,21st
21,,22nd
22,,23rd
23,,24th
24,,25th
25,,26th
26,,27th
27,,28th
28,,29th
29,,30th
30,,31st
31,,32nd
32,,33rd
33,,34th
34,,35th
35,,36th
36,,37th
37,,38th
38,,39th
39,,40th
40,,41st
41,,42nd
42,,43rd
43,,44th
44,,45th
45,,46th
46,,47th
47,,48th
48,,abbey
49,,acacia
50,,acadia
51,,acevedo
52,,acme
53,,acorn
54,,acton
55,,ada
56,,adair
57,,adam
58,,addison
59,,adele
60,,admiral
61,,adolph sutro
62,,aerial
63,,agnon
64,,agua
65,,ahern
66,,al scoma
67,,alabama
68,,aladdin
69,,alameda
70,,alana
71,,albatross
72,,alberta
73,,albion
74,,alder
75,,alemany
76,,alemany blvd off
77,,alert
78,,alhambra
79,,alice b toklas
80,,allen
81,,allison
82,,allston
83,,alma
84,,almaden
85,,aloha
86,,alpha
87,,alpine
88,,alta
89,,alta mar
90,,alta vista
91,,alton
92,,alvarado
93,,alviso
94,,alvord
95,,amador
96,,amatista
97,,amatury
98,,amazon
99,,amber
100,,ambrose bierce
101,,ames
102,,amethyst
103,,amherst
104,,amity
105,,anderson
106,,andover
107,,andrew
108,,angelos
109,,anglo
110,,ankeny
111,,annapolis
112,,annie
113,,anson
114,,anthony
115,,antonio
116,,anza
117,,anzavista
118,,apollo
119,,apparel
120,,appleton
121,,aptos
122,,aquavista
123,,arago
124,,arballo
125,,arbol
126,,arbor
127,,arch
128,,arco
129,,ardath
130,,ardenwood
131,,arelious walker
132,,arellano
133,,argent
134,,argonaut
135,,arguello
136,,arkansas
137,,arleta
138,,arlington
139,,armistead
140,,armory
141,,armstrong
142,,arnold
143,,arroyo
144,,arthur
145,,ash
146,,ashburton
147,,ashbury
148,,ashton
149,,ashwood
150,,aspen
151,,atalaya
152,,athens
153,,atoll
154,,attridge
155,,auburn
156,,august
157,,augusta
158,,austin
159,,auto
160,,automobile
161,,avalon
162,,avenue b
163,,avenue c
164,,avenue d
165,,avenue e
166,,avenue f
167,,avenue h
168,,avenue i
169,,avenue m
170,,avenue n
171,,avenue of the palms
172,,avery
173,,avila
174,,avoca
175,,avocet
176,,avon
177,,aztec
178,,bache
179,,bacon
180,,baden
181,,badger
182,,baker
183,,balance
184,,balboa
185,,balceta
186,,baldwin
187,,balhi
188,,balmy
189,,baltimore
190,,banbury
191,,bancroft
192,,bank
193,,banks
194,,bannan
195,,banneker
196,,bannock
197,,barcelona
198,,barnard
199,,barneveld
200,,barry
201,,bartlett
202,,bartol
203,,bass
204,,battery
205,,battery blaney
206,,battery caulfield
207,,battery chamberlin
208,,battery cranston
209,,battery crosby
210,,battery dynamite
211,,battery east
212,,battery safford
213,,battery wagner
214,,baxter
215,,bay
216,,bayshore
217,,bay shore blvd off
218,,bay shore blvd on
219,,bayview
220,,bayside
221,,bayside village
222,,bayview
224,,baywood
225,,beach
226,,beachmont
227,,beacon
228,,beale
229,,beatrice
230,,beaumont
231,,beaver
232,,beckett
233,,bedford
234,,beeman
235,,behr
236,,beideman
237,,belcher
238,,belden
239,,belgrave
240,,bell
241,,bella vista
242,,bellair
243,,belle
244,,belles
245,,bellevue
246,,belmont
247,,belvedere
248,,bemis
249,,bengal
250,,bennington
251,,benton
252,,bepler
253,,bercut access
254,,bergen
255,,berkeley
256,,berkshire
257,,bernal heights
258,,bernard
259,,bernice
260,,bernice rodgers
261,,berry
262,,berry extension
263,,bertha
264,,bertie minor
265,,bertita
266,,berwick
267,,bessie
268,,beulah
269,,beverly
270,,bigelow
271,,bigler
272,,birch
273,,birchwood
274,,bird
275,,birmingham
276,,bishop
277,,bitting
278,,black
279,,blackstone
280,,blair
281,,blairwood
282,,blake
283,,blanche
284,,blandy
285,,blanken
286,,blatchford
287,,bliss
288,,bluxome
289,,blythdale
290,,boalt
291,,boardman
292,,bob kaufman
293,,bocana
294,,bonifacio
295,,bonita
296,,bonnie brae
297,,bonview
298,,borica
299,,bosworth
300,,boutwell
301,,bowdoin
302,,bowley
303,,bowling green
304,,bowman
305,,boyd
306,,boylston
307,,boynton
308,,bradford
309,,brady
310,,brannan
311,,brant
312,,brazil
313,,breen
314,,brentwood
315,,bret harte
316,,brewster
317,,brice
